time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:23:50.918986 , 12.76%, 13.1%, 74.13%, 428081152, 23192027136
2024-12-03 19:23:52.479923 , 10.14%, 12.44%, 77.41%, 441794560, 23205019648
2024-12-03 19:23:54.045514 , 10.6%, 12.67%, 76.71%, 434126848, 23127621632
2024-12-03 19:23:55.602822 , 10.79%, 12.44%, 76.76%, 437829632, 23129456640
2024-12-03 19:23:57.175420 , 10.55%, 13.76%, 75.67%, 440582144, 23203397632
2024-12-03 19:23:58.741323 , 11.35%, 12.57%, 76.7%, 430882816, 23213998080
2024-12-03 19:24:00.303787 , 10.28%, 12.5%, 77.21%, 429113344, 23130472448
2024-12-03 19:24:01.887674 , 12.36%, 13.64%, 73.98%, 420691968, 22940041216
2024-12-03 19:24:03.450382 , 17.64%, 12.69%, 69.65%, 421593088, 23140319232
2024-12-03 19:24:05.025823 , 17.92%, 12.87%, 69.2%, 505888768, 23119593472
2024-12-03 19:24:06.578951 , 9.63%, 12.38%, 77.98%, 510459904, 23115857920
2024-12-03 19:24:08.197565 , 18.23%, 14.43%, 67.33%, 477265920, 23136534528
2024-12-03 19:24:09.783360 , 13.43%, 13.22%, 73.33%, 464732160, 23009951744
2024-12-03 19:24:11.360766 , 11.13%, 13.13%, 75.73%, 1277493248, 22689972224
2024-12-03 19:24:13.003530 , 19.52%, 17.8%, 63.38%, 1248411648, 22651338752
2024-12-03 19:24:14.601315 , 11.69%, 18.76%, 69.53%, 1246953472, 22809395200
2024-12-03 19:24:16.327058 , 17.94%, 14.44%, 67.6%, 1246035968, 22734487552
2024-12-03 19:24:17.889651 , 11.34%, 13.13%, 75.52%, 1251950592, 22718152704
2024-12-03 19:24:19.482295 , 14.25%, 14.4%, 71.7%, 1230749696, 22494593024
